OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
-1.0,0,72,32.0,8685.0,f508,9f65f8
-1.0,0,73,33.0,8780.0,f9b8,a12348
-1.0,0,74,34.0,8875.0,fe68,a2e098
-1.0,0,75,35.0,8970.0,10318,a49de8
-1.0,0,76,36.0,9065.0,107c8,a65b38
-1.0,0,77,37.0,9160.0,10c78,a81888
-1.0,0,78,38.0,9255.0,11128,a9d5d8
-1.0,0,79,39.0,9350.0,115d8,ab9328
-1.0,0,80,40.0,9445.0,11a88,ad5078
-1.0,0,81,41.0,9539.0,11f38,af0918
-1.0,0,82,42.0,9634.0,123e8,b0c668
-1.0,0,83,43.0,9729.0,12898,b283b8
-1.0,0,84,44.0,9824.0,12d48,b44108
-1.0,0,85,45.0,9919.0,131f8,b5fe58
-1.0,0,86,45.0,9967.0,131f8,b6df58
-1.0,0,87,46.0,9958.0,136a8,b6b528
-1.0,0,88,47.0,9737.0,13b58,b2a938
-1.0,0,89,48.0,9521.0,14008,aeb4b8
-1.0,0,90,49.0,9304.0,144b8,aabb88
-1.0,0,91,50.0,9090.0,14968,a6d068
0.0,0,0,-40.0,2680.0,ffffa388,317188
0.0,0,1,-39.0,2778.0,ffffa838,333ce8
0.0,0,2,-38.0,2876.0,fffface8,350848
0.0,0,3,-37.0,2974.0,ffffb198,36d3a8
0.0,0,4,-36.0,3072.0,ffffb648,389f08
0.0,0,5,-35.0,3169.0,ffffbaf8,3a65b8
0.0,0,6,-34.0,3267.0,ffffbfa8,3c3118
0.0,0,7,-33.0,3365.0,ffffc458,3dfc78
0.0,0,8,-32.0,3463.0,ffffc908,3fc7d8
0.0,0,9,-31.0,3561.0,ffffcdb8,419338
0.0,0,10,-30.0,3659.0,ffffd268,435e98
0.0,0,11,-29.0,3757.0,ffffd718,4529f8
0.0,0,12,-28.0,3855.0,ffffdbc8,46f558
0.0,0,13,-27.0,3953.0,ffffe078,48c0b8
0.0,0,14,-26.0,4051.0,ffffe528,4a8c18
0.0,0,15,-25.0,4149.0,ffffe9d8,4c5778
0.0,0,16,-24.0,4247.0,ffffee88,4e22d8
0.0,0,17,-23.0,4345.0,fffff338,4fee38
0.0,0,18,-22.0,4443.0,fffff7e8,51b998
0.0,0,19,-21.0,4541.0,fffffc98,5384f8
0.0,0,20,-20.0,4639.0,148,555058
0.0,0,21,-19.0,4737.0,5f8,571bb8
0.0,0,22,-18.0,4835.0,aa8,58e718
0.0,0,23,-17.0,4933.0,f58,5ab278
0.0,0,24,-16.0,5031.0,1408,5c7dd8
0.0,0,25,-15.0,5129.0,18b8,5e4938
0.0,0,26,-14.0,5227.0,1d68,601498
0.0,0,27,-13.0,5325.0,2218,61dff8
0.0,0,28,-12.0,5423.0,26c8,63ab58
0.0,0,29,-11.0,5521.0,2b78,6576b8
0.0,0,30,-10.0,5619.0,3028,674218
0.0,0,31,-9.0,5717.0,34d8,690d78
0.0,0,32,-8.0,5816.0,3988,6add88
0.0,0,33,-7.0,5914.0,3e38,6ca8e8
0.0,0,34,-6.0,6012.0,42e8,6e7448
0.0,0,35,-5.0,6110.0,4798,703fa8
0.0,0,36,-4.0,6208.0,4c48,720b08
0.0,0,37,-3.0,6306.0,50f8,73d668
0.0,0,38,-2.0,6404.0,55a8,75a1c8
0.0,0,39,-1.0,6503.0,5a58,7771d8
0.0,0,40,0.0,6601.0,5f08,793d38
