OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
-1.0,0,55,15.0,6453.0,a558,768778
-1.0,0,56,16.0,6545.0,aa08,7836b8
-1.0,0,57,17.0,6637.0,aeb8,79e5f8
-1.0,0,58,18.0,6729.0,b368,7b9538
-1.0,0,59,19.0,6821.0,b818,7d4478
-1.0,0,60,20.0,6913.0,bcc8,7ef3b8
-1.0,0,61,21.0,7005.0,c178,80a2f8
-1.0,0,62,22.0,7097.0,c628,825238
-1.0,0,63,23.0,7189.0,cad8,840178
-1.0,0,64,24.0,7281.0,cf88,85b0b8
-1.0,0,65,25.0,7373.0,d438,875ff8
-1.0,0,66,26.0,7465.0,d8e8,890f38
-1.0,0,67,27.0,7557.0,dd98,8abe78
-1.0,0,68,28.0,7649.0,e248,8c6db8
-1.0,0,69,29.0,7741.0,e6f8,8e1cf8
-1.0,0,70,30.0,7833.0,eba8,8fcc38
-1.0,0,71,31.0,7925.0,f058,917b78
-1.0,0,72,32.0,8018.0,f508,932f68
-1.0,0,73,33.0,8110.0,f9b8,94dea8
-1.0,0,74,34.0,8202.0,fe68,968de8
-1.0,0,75,35.0,8294.0,10318,983d28
-1.0,0,76,36.0,8386.0,107c8,99ec68
-1.0,0,77,37.0,8478.0,10c78,9b9ba8
-1.0,0,78,38.0,8571.0,11128,9d4f98
-1.0,0,79,39.0,8663.0,115d8,9efed8
-1.0,0,80,40.0,8755.0,11a88,a0ae18
-1.0,0,81,41.0,8847.0,11f38,a25d58
-1.0,0,82,42.0,8940.0,123e8,a41148
-1.0,0,83,43.0,9032.0,12898,a5c088
-1.0,0,84,44.0,9124.0,12d48,a76fc8
-1.0,0,85,45.0,9216.0,131f8,a91f08
-1.0,0,86,46.0,9309.0,136a8,aad2f8
-1.0,0,87,47.0,9401.0,13b58,ac8238
-1.0,0,88,48.0,9493.0,14008,ae3178
-1.0,0,89,49.0,9586.0,144b8,afe568
-1.0,0,90,50.0,9678.0,14968,b194a8
0.0,0,0,-40.0,919.0,ffffa388,1132d8
0.0,0,1,-39.0,1001.0,ffffa838,12b338
0.0,0,2,-38.0,1083.0,fffface8,143398
0.0,0,3,-37.0,1164.0,ffffb198,15af48
0.0,0,4,-36.0,1246.0,ffffb648,172fa8
0.0,0,5,-35.0,1328.0,ffffbaf8,18b008
0.0,0,6,-34.0,1409.0,ffffbfa8,1a2bb8
